entry_time,entry_price,exit_time,exit_price,action,position_size,pnl,pnl_percent,exit_reason,capital_after
2025-10-27 14:00:00,4148.96,2025-10-28 21:00:00,4065.9808,SHORT,2.410242566811924,330.0000000000005,3.300000000000005,止盈TP1,1330.0000000000005
2025-10-27 19:00:00,4193.96,2025-10-28 02:00:00,4110.0808,LONG,3.1712271933924034,-266.0000000000011,-2.0000000000000075,止损,1063.9999999999993
2025-10-28 20:00:00,3979.28,2025-10-30 12:00:00,3899.6944000000003,SHORT,2.673850545827384,280.8959999999994,2.639999999999996,止盈TP1,1344.8959999999988
2025-10-31 03:00:00,3829.16,2025-11-01 01:00:00,3857.48,LONG,3.5122481170805058,99.4668666757205,0.7395877947121605,时间到期,1444.3628666757193
