entry_time,entry_price,exit_time,exit_price,action,position_size,pnl,pnl_percent,exit_reason,capital_after
2025-06-09 00:00:00,2541.79,2025-06-09 12:00:00,2592.6258,SHORT,3.9342353223515714,-199.99999999999937,-1.9999999999999938,止损,800.0000000000007
2025-06-09 12:00:00,2680.13,2025-06-10 00:00:00,2733.7326000000003,SHORT,2.984929835493057,-160.00000000000063,-2.0000000000000058,止损,640.0
2025-06-16 00:00:00,2617.01,2025-06-17 12:00:00,2512.3296,SHORT,2.4455389929728963,211.2000000000004,3.3000000000000056,止盈TP2,851.2000000000004
2025-06-27 00:00:00,2447.25,2025-07-03 00:00:00,2496.195,LONG,3.4781898048830335,280.8960000000005,3.300000000000005,止盈TP1,1132.096000000001
2025-07-01 12:00:00,2405.01,2025-07-02 12:00:00,2549.3106000000002,LONG,4.707240302535128,455.10259200000047,4.0200000000000005,止盈TP3,1587.1985920000013
2025-08-01 00:00:00,3642.72,2025-08-01 12:00:00,3569.8655999999996,LONG,4.3571797777485,-317.439718400001,-2.000000000000005,止损,1269.7588736000002
2025-08-22 12:00:00,4832.07,2025-08-25 12:00:00,4735.428599999999,SHORT,2.6277741704900803,419.0204282880012,3.300000000000009,止盈TP1,1688.7793018880016
2025-08-23 00:00:00,4704.93,2025-08-25 12:00:00,4422.6342,SHORT,3.5893824177788005,790.3487132835858,4.680000000000007,止盈TP3,2479.1280151715873
2025-10-09 12:00:00,4368.09,2025-10-10 12:00:00,4280.7282000000005,LONG,5.675542434271243,-495.82560303431563,-1.9999999999999927,止损,1983.3024121372716
2025-10-10 00:00:00,4343.02,2025-10-10 12:00:00,4256.1596,LONG,4.566643515657932,-396.6604824274565,-2.0000000000000107,止损,1586.641929709815
2025-10-24 00:00:00,3946.57,2025-10-26 00:00:00,4025.5014,SHORT,4.0203060625044404,-317.3283859419627,-1.9999999999999982,止损,1269.3135437678523
2025-10-24 12:00:00,3934.88,2025-10-26 00:00:00,4013.5776,SHORT,3.225799881490292,-253.8627087535703,-1.9999999999999991,止损,1015.4508350142819
2025-10-25 00:00:00,3940.31,2025-10-26 00:00:00,4019.1162,SHORT,2.5770836178226637,-203.09016700285636,-1.9999999999999998,止损,812.3606680114256
2025-10-25 12:00:00,3953.82,2025-10-26 00:00:00,4032.8964,SHORT,2.054622284300817,-162.47213360228494,-1.999999999999998,止损,649.8885344091407
